,m,l,P,r,T,rho,epsilon,adiabatic temperature gradient,actual temperature gradient,radiative
1068,0.534034034034034,0.9992744159226014,1.881108783898952,0.2556409818642332,0.5502836133172331,3.418435036724438,0.1399662018136147,0.4,0.2257617488792378,True
1069,0.5345345345345345,0.999344292391026,1.8761333308788115,0.2558193203828441,0.5499547305488615,3.4114322991756207,0.13926102201143598,0.4,0.22569962757250847,True
1070,0.535035035035035,0.9994138166660594,1.8711670892449719,0.2559977760761044,0.5496258730517972,3.404437783933493,0.1385588334949098,0.4,0.22563748697241875,True
1071,0.5355355355355356,0.9994829902434184,1.8662100457322917,0.25617634935347083,0.5492970405370298,3.3974514843694754,0.13785962548307867,0.4,0.22557532690100798,True
1072,0.5360360360360361,0.9995518146132918,1.861262187104696,0.2563550406252944,0.5489682327156377,3.3904733938745393,0.1371633872305269,0.4,0.2255131471786801,True
1073,0.5365365365365365,0.9996202912603631,1.8563235001550613,0.25653385030283127,0.548639449298789,3.383503505859105,0.1364701080272518,0.4,0.22545094762419832,True
1074,0.537037037037037,0.9996884216638325,1.8513939717050951,0.25671277879825427,0.5483106899977424,3.3765418137529255,0.13577977719853912,0.4,0.2253887280546697,True
1075,0.5375375375375375,0.9997562072974402,1.846473588605221,0.2568918265246641,0.5479819545238468,3.369588311004988,0.13509238410483956,0.4,0.2253264882855346,True
1076,0.5380380380380381,0.999823649629488,1.8415623377344639,0.2570709938961003,0.5476532425885434,3.3626429910834026,0.13440791814164535,0.4,0.22526422813055533,True
1077,0.5385385385385386,0.9998907501228629,1.8366602060003294,0.2572502813275528,0.547324553903365,3.3557058474752957,0.13372636873936233,0.4,0.22520194740180258,True
1078,0.539039039039039,0.9999575102350583,1.831767180338689,0.25742968923497306,0.5469958881799375,3.3487768736866967,0.13304772536319093,0.4,0.22513964590964364,True
1079,0.5395395395395395,1.000023931418198,1.8268832477136598,0.2576092180352852,0.54666724512998,3.341856063242431,0.13237197751300234,0.4,0.22507732346273032,True
1080,0.54004004004004,1.0000900151190575,1.82200839511749,0.25778886814639745,0.5463386244653056,3.3349434096860087,0.13169911472321388,0.4,0.22501497986798677,True
1081,0.5405405405405406,1.000155762779087,1.8171426095704428,0.25796863998721314,0.5460100258978219,3.3280389065795206,0.13102912656266952,0.4,0.22495261493059582,True
1082,0.5410410410410411,1.0002211758344342,1.8122858781206772,0.2581485339776421,0.5456814491395322,3.3211425475035177,0.13036200263451758,0.4,0.22489022845398612,True
1083,0.5415415415415415,1.0002862557159664,1.8074381878441328,0.25832855053861187,0.5453528939025353,3.3142543260569104,0.12969773257609032,0.4,0.22482782023981832,True
1084,0.542042042042042,1.000351003849293,1.802599525844409,0.25850869009207894,0.5450243598990264,3.307374235856846,0.12903630605878297,0.4,0.22476539008797347,True
1085,0.5425425425425425,1.0004154216573182,1.7977698792387495,0.2586889530609515,0.5446958468410367,3.3005022705146647,0.12837771278667698,0.4,0.22470293779542022,True
1086,0.5430430430430431,1.0004795105619733,1.792949235148526,0.25886933986904065,0.5443673544402563,3.293638423619505,0.127721942495595,0.4,0.22464046315541167,True
1087,0.5435435435435436,1.0005432719722918,1.7881375807647772,0.2590498509414899,0.544038882409271,3.2867826888512583,0.12706898495890287,0.4,0.22457796596276072,True
1088,0.544044044044044,1.0006067072917189,1.7833349033080523,0.2592304867045314,0.5437104304608087,3.279935059911633,0.12641882998375586,0.4,0.22451544601064183,True
1089,0.5445445445445445,1.0006698179186484,1.7785411900254549,0.2594112475854792,0.5433819983076871,3.27309553051915,0.12577146741072087,0.4,0.2244529030903509,True
1090,0.545045045045045,1.0007326052464447,1.7737564281905427,0.2595921340127404,0.5430535856628147,3.266264094409053,0.12512688711366307,0.4,0.2243903369912882,True
1091,0.5455455455455456,1.0007950706634603,1.768980605103228,0.25977314641582666,0.5427251922391915,3.259440745333225,0.1244850789996306,0.4,0.22432774750094567,True
1092,0.5460460460460461,1.0008572155530575,1.7642137080896714,0.2599542852253653,0.5423968177499102,3.252625477060081,0.12384603300873824,0.4,0.22426513440489126,True
1093,0.5465465465465466,1.0009190412936269,1.759455724502182,0.2601355508731109,0.5420684619081567,3.2458182833744873,0.1232097391140543,0.4,0.2242024974867585,True
1094,0.547047047047047,1.0009805492586084,1.7547066417191124,0.26031694379195647,0.5417401244272113,3.2390191580776593,0.12257618732148576,0.4,0.22413983652822428,True
1095,0.5475475475475475,1.0010417408165102,1.7499664471447567,0.260498464415945,0.5414118050204493,3.232228094987068,0.12194536766966439,0.4,0.2240771513090018,True
1096,0.5480480480480481,1.0011026173309288,1.7452351282092522,0.2606801131802803,0.5410835034013424,3.225445087936352,0.12131727022983536,0.4,0.22401444160681883,True
1097,0.5485485485485486,1.0011631801605694,1.740512672368473,0.26086189052133885,0.5407552192834588,3.2186701307752195,0.12069188510574119,0.4,0.2239517071974079,True
1098,0.549049049049049,1.0012234306592647,1.7357990671039298,0.2610437968766809,0.5404269523804653,3.2119032173693514,0.12006920243351454,0.4,0.2238889478544878,True
1099,0.5495495495495495,1.0012833701759956,1.7310942999226644,0.2612258326850618,0.540098702406127,3.205144341600304,0.11944921238156053,0.4,0.223826163349748,True
1100,0.55005005005005,1.0013430000549113,1.7263983583571498,0.2614079983864434,0.5397704690743084,3.198393497365419,0.11883190515044788,0.4,0.22376335345283505,True
1101,0.5505505505505506,1.0014023216353476,1.7217112299651893,0.2615902944220054,0.5394422520989751,3.1916506785777234,0.11821727097280006,0.4,0.2237005179313325,True
1102,0.5510510510510511,1.0014613362518487,1.7170329023298116,0.2617727212341564,0.5391140511941941,3.184915879165835,0.11760530011317961,0.4,0.22363765655074996,True
1103,0.5515515515515516,1.0015200452341855,1.7123633630591704,0.26195527926654577,0.5387858660741345,3.178189093073865,0.11699598286798285,0.4,0.2235747690745044,True
1104,0.552052052052052,1.0015784499073765,1.7077025997864386,0.2621379689640744,0.538457696453069,3.1714703142613154,0.11638930956532635,0.4,0.22351185526390172,True
1105,0.5525525525525525,1.0016365515917067,1.7030506001697086,0.26232079077290654,0.538129542045374,3.1647595367029875,0.11578527056493876,0.4,0.223448914878124,True
1106,0.5530530530530531,1.0016943516027486,1.6984073518918914,0.2625037451404807,0.5378014025655313,3.158056754388884,0.11518385625805348,0.4,0.22338594767421013,True
1107,0.5535535535535536,1.0017518512513803,1.6937728426606116,0.2626868325155212,0.5374732777281289,3.151361961324105,0.11458505706729678,0.4,0.2233229534070387,True
1108,0.5540540540540541,1.0018090518438074,1.6891470602081073,0.26287005334804964,0.5371451672478611,3.1446751515287574,0.11398886344658242,0.4,0.22325993182931292,True
1109,0.5545545545545545,1.0018659546815818,1.6845299922911237,0.26305340808939587,0.5368170708395303,3.137996319037844,0.11339526588100172,0.4,0.2231968826915416,True
1110,0.555055055055055,1.0019225610633367,1.6799216266818682,0.26323689719307464,0.5364889882180902,3.1313254578842478,0.11280425488614106,0.4,0.22313380574058503,True
